shape,origin,carat,colour,clarity,price,image_url
emerald,lab,2.00,D,VVS2,1385,
emerald,lab,2.00,D,VVS1,1420,
emerald,lab,2.30,F,VS1,1385,
emerald,lab,2.30,F,VVS2,1420,
emerald,lab,2.30,F,VVS1,1455,
emerald,lab,2.30,E,VS1,1420,
emerald,lab,2.30,E,VVS2,1455,
emerald,lab,2.30,E,VVS1,1490,
emerald,lab,2.30,D,VS1,1455,
emerald,lab,2.30,D,VVS2,1490,
emerald,lab,2.30,D,VVS1,1525,
emerald,lab,2.50,F,VS1,1490,
emerald,lab,2.50,F,VVS2,1525,
emerald,lab,2.50,F,VVS1,1560,
emerald,lab,2.50,E,VS1,1525,
emerald,lab,2.50,E,VVS2,1560,
emerald,lab,2.50,E,VVS1,1595,
emerald,lab,2.50,D,VS1,1560,
emerald,lab,2.50,D,VVS2,1595,
emerald,lab,2.50,D,VVS1,1630,
emerald,lab,2.70,F,VS1,1595,
emerald,lab,2.70,F,VVS2,1630,
emerald,lab,2.70,F,VVS1,1665,
emerald,lab,2.70,E,VS1,1630,
emerald,lab,2.70,E,VVS2,1665,
emerald,lab,2.70,E,VVS1,1700,
emerald,lab,2.70,D,VS1,1665,
emerald,lab,2.70,D,VVS2,1700,
emerald,lab,2.70,D,VVS1,1735,
emerald,lab,3.00,F,VS1,1820,
emerald,lab,3.00,F,VVS2,1855,
emerald,lab,3.00,F,VVS1,1890,
emerald,lab,3.00,E,VS1,1975,
emerald,lab,3.00,E,VVS2,2010,
emerald,lab,3.00,E,VVS1,2045,
emerald,lab,3.00,D,VS1,2130,
emerald,lab,3.00,D,VVS2,2165,
emerald,lab,3.00,D,VVS1,2200,
emerald,lab,3.30,F,VS1,2285,
emerald,lab,3.30,F,VVS2,2320,
emerald,lab,3.30,F,VVS1,2355,
emerald,lab,3.30,E,VS1,2440,
emerald,lab,3.30,E,VVS2,2475,
emerald,lab,3.30,E,VVS1,2510,
emerald,lab,3.30,D,VS1,2595,
emerald,lab,3.30,D,VVS2,2630,
emerald,lab,3.30,D,VVS1,2665,
emerald,lab,3.50,F,VS1,2750,
emerald,lab,3.50,F,VVS2,2785,
emerald,lab,3.50,F,VVS1,2820,
emerald,lab,3.50,E,VS1,2905,
emerald,lab,3.50,E,VVS2,2940,
emerald,lab,3.50,E,VVS1,2975,
emerald,lab,3.50,D,VS1,3060,
emerald,lab,3.50,D,VVS2,3095,
emerald,lab,3.50,D,VVS1,3130,
emerald,lab,3.70,F,VS1,3215,
emerald,lab,3.70,F,VVS2,3250,
emerald,lab,3.70,F,VVS1,3285,
emerald,lab,3.70,E,VS1,3370,
emerald,lab,3.70,E,VVS2,3405,
emerald,lab,3.70,E,VVS1,3440,
emerald,lab,3.70,D,VS1,3525,
emerald,lab,3.70,D,VVS2,3560,
emerald,lab,3.70,D,VVS1,3595,
emerald,lab,4.00,F,VS1,3680,
emerald,lab,4.00,F,VVS2,3715,
emerald,lab,4.00,F,VVS1,3750,
emerald,lab,4.00,E,VS1,3835,
emerald,lab,4.00,E,VVS2,3870,
emerald,lab,4.00,E,VVS1,3905,
emerald,lab,4.00,D,VS1,3990,
emerald,lab,4.00,D,VVS2,4025,
emerald,lab,4.00,D,VVS1,4060,
